time_utc,discharge_cfs,unit,approval_status,qualifier,time_local
2018-09-12 21:30:00+00:00,68.0,ft^3/s,Approved,,2018-09-12 17:30:00-04:00
2018-09-12 21:45:00+00:00,68.0,ft^3/s,Approved,,2018-09-12 17:45:00-04:00
2018-09-12 22:00:00+00:00,67.4,ft^3/s,Approved,,2018-09-12 18:00:00-04:00
2018-09-12 22:15:00+00:00,67.4,ft^3/s,Approved,,2018-09-12 18:15:00-04:00
2018-09-12 22:30:00+00:00,66.7,ft^3/s,Approved,,2018-09-12 18:30:00-04:00
2018-09-12 22:45:00+00:00,66.7,ft^3/s,Approved,,2018-09-12 18:45:00-04:00
2018-09-12 23:00:00+00:00,66.1,ft^3/s,Approved,,2018-09-12 19:00:00-04:00
2018-09-12 23:15:00+00:00,66.1,ft^3/s,Approved,,2018-09-12 19:15:00-04:00
2018-09-12 23:30:00+00:00,66.1,ft^3/s,Approved,,2018-09-12 19:30:00-04:00
2018-09-12 23:45:00+00:00,65.4,ft^3/s,Approved,,2018-09-12 19:45:00-04:00
2018-09-13 00:00:00+00:00,65.4,ft^3/s,Approved,,2018-09-12 20:00:00-04:00
2018-09-13 00:15:00+00:00,64.8,ft^3/s,Approved,,2018-09-12 20:15:00-04:00
2018-09-13 00:30:00+00:00,64.8,ft^3/s,Approved,,2018-09-12 20:30:00-04:00
2018-09-13 00:45:00+00:00,64.2,ft^3/s,Approved,,2018-09-12 20:45:00-04:00
