site_number,site_name,time_local,discharge_cfs
02092500,"Trent River near Trenton, NC",2018-09-22 05:00:00-04:00,1525.0
02092500,"Trent River near Trenton, NC",2018-09-22 06:00:00-04:00,1490.0
02092500,"Trent River near Trenton, NC",2018-09-22 07:00:00-04:00,1462.5
02092500,"Trent River near Trenton, NC",2018-09-22 08:00:00-04:00,1432.5
02092500,"Trent River near Trenton, NC",2018-09-22 09:00:00-04:00,1402.5
02092500,"Trent River near Trenton, NC",2018-09-22 10:00:00-04:00,1375.0
02092500,"Trent River near Trenton, NC",2018-09-22 11:00:00-04:00,1345.0
02092500,"Trent River near Trenton, NC",2018-09-22 12:00:00-04:00,1317.5
02092500,"Trent River near Trenton, NC",2018-09-22 13:00:00-04:00,1290.0
02092500,"Trent River near Trenton, NC",2018-09-22 14:00:00-04:00,1265.0
02092500,"Trent River near Trenton, NC",2018-09-22 15:00:00-04:00,1237.5
02092500,"Trent River near Trenton, NC",2018-09-22 16:00:00-04:00,1217.5
02092500,"Trent River near Trenton, NC",2018-09-22 17:00:00-04:00,1190.0
02092500,"Trent River near Trenton, NC",2018-09-22 18:00:00-04:00,1170.0
02092500,"Trent River near Trenton, NC",2018-09-22 19:00:00-04:00,1145.0
02092500,"Trent River near Trenton, NC",2018-09-22 20:00:00-04:00,1122.5
02092500,"Trent River near Trenton, NC",2018-09-22 21:00:00-04:00,1102.5
02092500,"Trent River near Trenton, NC",2018-09-22 22:00:00-04:00,1080.0
02092500,"Trent River near Trenton, NC",2018-09-22 23:00:00-04:00,1055.0
02092500,"Trent River near Trenton, NC",2018-09-23 00:00:00-04:00,1035.0
02092500,"Trent River near Trenton, NC",2018-09-23 01:00:00-04:00,1015.0
02092500,"Trent River near Trenton, NC",2018-09-23 02:00:00-04:00,1000.0
02092500,"Trent River near Trenton, NC",2018-09-23 03:00:00-04:00,980.25
02092500,"Trent River near Trenton, NC",2018-09-23 04:00:00-04:00,962.75
02092500,"Trent River near Trenton, NC",2018-09-23 05:00:00-04:00,944.75
02092500,"Trent River near Trenton, NC",2018-09-23 06:00:00-04:00,927.25
